Code;Individual;Species (from Individuals);Study (from Individuals);Origin (from Individual);Sample type;16S region;Platform;Type;Read-length;F Primer;R Primer;ERDA;Archived S;Warning;Data processing;Class;Status (from Data processing);Diet;Mobility
D00001;I00020;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112588;;P00001;Actinopterygii;Done;Omnivorous;Aquatic
D00002;I00020;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112589;;;Actinopterygii;;Omnivorous;Aquatic
D00003;I00020;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112590;;;Actinopterygii;;Omnivorous;Aquatic
D00004;I00020;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112591;;;Actinopterygii;;Omnivorous;Aquatic
D00005;I00020;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112592;;;Actinopterygii;;Omnivorous;Aquatic
D00006;I00020;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112593;;;Actinopterygii;;Omnivorous;Aquatic
D00007;I00023;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112594;;P00002;Actinopterygii;Done;Omnivorous;Aquatic
D00008;I00023;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112595;;;Actinopterygii;;Omnivorous;Aquatic
D00009;I00023;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112596;;;Actinopterygii;;Omnivorous;Aquatic
D00010;I00023;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112597;;;Actinopterygii;;Omnivorous;Aquatic
D00011;I00023;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112598;;;Actinopterygii;;Omnivorous;Aquatic
D00012;I00023;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112599;;;Actinopterygii;;Omnivorous;Aquatic
D00013;I00021;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112600;;P00003;Actinopterygii;Done;Omnivorous;Aquatic
D00014;I00021;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112601;;;Actinopterygii;;Omnivorous;Aquatic
D00015;I00021;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112602;;;Actinopterygii;;Omnivorous;Aquatic
D00016;I00021;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112603;;;Actinopterygii;;Omnivorous;Terrestrial
D00017;I00021;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112604;;;Actinopterygii;;Omnivorous;Terrestrial
D00018;I00021;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112605;;;Actinopterygii;;Omnivorous;Terrestrial
D00019;I00022;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112606;;P00004;Actinopterygii;Done;Omnivorous;Terrestrial
D00020;I00022;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112607;;;Actinopterygii;;Omnivorous;Terrestrial
D00021;I00022;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112608;;;Actinopterygii;;Omnivorous;Terrestrial
D00022;I00022;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112609;;;Actinopterygii;;Omnivorous;Terrestrial
D00023;I00022;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112610;;;Actinopterygii;;Omnivorous;Terrestrial
D00024;I00022;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112611;;;Actinopterygii;;Omnivorous;Terrestrial
D00025;I00025;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112615;Very low sequencing depth;;Actinopterygii;;Omnivorous;Terrestrial
D00026;I00025;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112616;;;Actinopterygii;;Omnivorous;Terrestrial
D00027;I00025;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112617;;;Actinopterygii;;Omnivorous;Terrestrial
D00028;I00026;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112618;;;Actinopterygii;;Omnivorous;Terrestrial
D00029;I00026;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112619;;;Actinopterygii;;Omnivorous;Terrestrial
D00030;I00026;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112620;;;Actinopterygii;;Omnivorous;Terrestrial
D00031;I00030;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112621;;;Actinopterygii;;Omnivorous;Terrestrial
D00032;I00030;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112622;;;Actinopterygii;;Omnivorous;Terrestrial
D00033;I00030;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112623;;;Actinopterygii;;Omnivorous;Terrestrial
D00034;I00027;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112624;;;Actinopterygii;;Omnivorous;Terrestrial
D00035;I00027;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112625;;;Actinopterygii;;Omnivorous;Terrestrial
D00036;I00027;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112626;;;Actinopterygii;;Omnivorous;Terrestrial
D00037;I00028;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112627;;;Actinopterygii;;Omnivorous;Terrestrial
D00038;I00028;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112628;;;Actinopterygii;;Omnivorous;Terrestrial
D00039;I00028;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112629;;;Actinopterygii;;Omnivorous;Terrestrial
D00040;I00029;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112630;;;Actinopterygii;;Omnivorous;Terrestrial
D00041;I00029;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112631;;;Actinopterygii;;Omnivorous;Terrestrial
D00042;I00029;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112632;;;Actinopterygii;;Omnivorous;Terrestrial
D00043;I00031;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112633;;;Actinopterygii;;Omnivorous;Terrestrial
D00044;I00031;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112634;;;Actinopterygii;;Omnivorous;Terrestrial
D00045;I00031;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112635;;;Actinopterygii;;Omnivorous;Terrestrial
D00046;I00035;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112636;Very low sequencing depth;;Actinopterygii;;Omnivorous;Terrestrial
D00047;I00035;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112637;Very low sequencing depth;;Actinopterygii;;Omnivorous;Terrestrial
D00048;I00035;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112638;Very low sequencing depth;;Actinopterygii;;Omnivorous;Terrestrial
D00049;I00035;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112639;;;Actinopterygii;;Omnivorous;Terrestrial
D00050;I00035;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112640;;;Actinopterygii;;Omnivorous;Terrestrial
D00051;I00035;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112641;;;Actinopterygii;;Omnivorous;Terrestrial
D00052;I00032;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112642;;;Actinopterygii;;Omnivorous;Terrestrial
D00053;I00032;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112643;;;Actinopterygii;;Omnivorous;Terrestrial
D00054;I00032;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112644;;;Actinopterygii;;Omnivorous;Terrestrial
D00055;I00032;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112645;;;Actinopterygii;;Omnivorous;Terrestrial
D00056;I00032;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112646;;;Actinopterygii;;Omnivorous;Terrestrial
D00057;I00032;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112647;;;Actinopterygii;;Omnivorous;Terrestrial
D00058;I00033;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112648;;;Actinopterygii;;Omnivorous;Terrestrial
D00059;I00033;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112649;;;Actinopterygii;;Omnivorous;Terrestrial
D00060;I00033;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112650;;;Actinopterygii;;Omnivorous;Terrestrial
D00061;I00033;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112651;;;Actinopterygii;;Omnivorous;Terrestrial
D00062;I00033;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112652;;;Actinopterygii;;Omnivorous;Terrestrial
D00063;I00033;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112653;;;Actinopterygii;;Omnivorous;Terrestrial
D00064;I00034;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112654;;;Actinopterygii;;Omnivorous;Terrestrial
D00065;I00034;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112655;;;Actinopterygii;;Omnivorous;Terrestrial
D00066;I00034;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112656;;;Actinopterygii;;Omnivorous;Terrestrial
D00067;I00034;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112657;;;Actinopterygii;;Omnivorous;Terrestrial
D00068;I00034;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112658;;;Actinopterygii;;Omnivorous;Terrestrial
D00069;I00034;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112659;;;Actinopterygii;;Omnivorous;Terrestrial
D00070;I00037;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112660;;;Actinopterygii;;Omnivorous;Terrestrial
D00071;I00037;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112661;;;Actinopterygii;;Omnivorous;Terrestrial
D00072;I00037;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112662;;;Actinopterygii;;Omnivorous;Terrestrial
D00073;I00038;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112663;;;Actinopterygii;;Omnivorous;Terrestrial
D00074;I00038;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112664;;;Actinopterygii;;Omnivorous;Terrestrial
D00075;I00038;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112665;;;Actinopterygii;;Omnivorous;Terrestrial
D00076;I00036;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112666;;;Actinopterygii;;Omnivorous;Terrestrial
D00077;I00036;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112667;;;Actinopterygii;;Omnivorous;Terrestrial
D00078;I00036;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112668;;;Actinopterygii;;Omnivorous;Terrestrial
D00079;I00039;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112669;;;Actinopterygii;;Herviborous;Terrestrial
D00080;I00039;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112670;;;Actinopterygii;;Herviborous;Terrestrial
D00081;I00039;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112671;;;Actinopterygii;;Herviborous;Terrestrial
D00082;I00040;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112672;;;Actinopterygii;;Herviborous;Terrestrial
D00083;I00040;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112673;;;Actinopterygii;;Herviborous;Terrestrial
D00084;I00040;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112674;;;Actinopterygii;;Herviborous;Terrestrial
D00085;I00041;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112675;;;Actinopterygii;;Herviborous;Terrestrial
D00086;I00041;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112676;;;Actinopterygii;;Herviborous;Terrestrial
D00087;I00041;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112677;;;Actinopterygii;;Herviborous;Terrestrial
D00088;I00024;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112612;;;Actinopterygii;;Herviborous;Terrestrial
D00089;I00024;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112613;;;Actinopterygii;;Herviborous;Terrestrial
D00090;I00024;GAMO;Riiser2018;Wild;Content+Mucosa mix;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112614;;;Actinopterygii;;Herviborous;Terrestrial
D00092;I00054;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;P00005;Actinopterygii;Done;Herviborous;Terrestrial
D00093;I00054;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00094;I00054;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00095;I00055;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;P00006;Actinopterygii;Done;Herviborous;Terrestrial
D00096;I00055;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00097;I00055;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00098;I00056;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;P00007;Actinopterygii;Done;Herviborous;Terrestrial
D00099;I00056;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00100;I00056;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;P00008;Actinopterygii;Done;Herviborous;Terrestrial
D00101;I00057;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00102;I00057;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00103;I00057;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00104;I00058;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00105;I00058;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00106;I00058;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00107;I00059;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00108;I00059;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00109;I00059;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00110;I00060;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00111;I00060;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00112;I00060;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00113;I00061;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00114;I00061;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00115;I00061;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00116;I00062;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00117;I00062;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00118;I00062;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00119;I00063;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00120;I00063;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00121;I00063;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00122;I00064;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00123;I00064;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00124;I00064;SASA;Lavoie2018;Wild;Gut content;V3,V4;Illumina MiSeq;PE;300;347f;803r;checked;;;;Actinopterygii;;Herviborous;Terrestrial
D00126;I00065;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927074;;P00009;Actinopterygii;Done;Herviborous;Terrestrial
D00127;I00066;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927073;;P00010;Actinopterygii;Done;Herviborous;Terrestrial
D00128;I00067;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927067;;P00011;Actinopterygii;Done;Herviborous;Terrestrial
D00129;I00069;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927066;;P00012;Actinopterygii;Done;Herviborous;Terrestrial
D00130;I00070;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927047;;;Actinopterygii;;Herviborous;Terrestrial
D00131;I00071;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927046;;;Actinopterygii;;Herviborous;Terrestrial
D00132;I00072;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927049;;;Actinopterygii;;Herviborous;Terrestrial
D00133;I00095;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927060;;;Actinopterygii;;Herviborous;Terrestrial
D00134;I00096;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927059;;;Actinopterygii;;Herviborous;Terrestrial
D00135;I00097;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927058;;;Actinopterygii;;Herviborous;Terrestrial
D00136;I00098;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927063;;;Actinopterygii;;Herviborous;Terrestrial
D00137;I00099;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927062;;;Actinopterygii;;Herviborous;Terrestrial
D00138;I00100;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927028;;;Actinopterygii;;Herviborous;Terrestrial
D00139;I00101;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927029;;;Actinopterygii;;Herviborous;Terrestrial
D00140;I00102;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927026;;;Actinopterygii;;Herviborous;Terrestrial
D00141;I00103;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927027;;;Actinopterygii;;Herviborous;Terrestrial
D00142;I00104;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927024;;;Actinopterygii;;Herviborous;Terrestrial
D00143;I00105;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927025;;;Actinopterygii;;Herviborous;Terrestrial
D00144;I00106;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927022;;;Actinopterygii;;Herviborous;Terrestrial
D00145;I00107;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927023;;;Actinopterygii;;Herviborous;Terrestrial
D00146;I00108;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927036;;;Actinopterygii;;Herviborous;Terrestrial
D00147;I00109;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927037;;;Actinopterygii;;Carnivorous;Terrestrial
D00148;I00110;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927011;;;Actinopterygii;;Carnivorous;Terrestrial
D00149;I00073;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927048;;;Actinopterygii;;Carnivorous;Terrestrial
D00150;I00074;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927051;;;Actinopterygii;;Carnivorous;Terrestrial
D00151;I00075;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927050;;;Actinopterygii;;Carnivorous;Terrestrial
D00152;I00076;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927053;;;Actinopterygii;;Carnivorous;Terrestrial
D00153;I00077;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927052;;;Actinopterygii;;Carnivorous;Terrestrial
D00154;I00078;SIFU;Jones2018;Wild;Gut content;V4;Illumina MiSeq;Preprocessed (fastq);254;515f;806r;checked;SRR5927044;;;Actinopterygii;;Carnivorous;Terrestrial
