"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] fissicatena group" 0.00511975347168045 0.0204790138867218 0 0
"2" "Acinetobacter" 8.29064835215834 10.7219450966329 15.1237922578345 14.0171849942224
"3" "Actinomadura" 0 0 0.00860168808128595 0.0285285719292976
"4" "Aeromonas" 0.05073793168018 0.116993391214997 0 0
"5" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.0047674066429605 0.019069626571842 0 0
"6" "Anaerocolumna" 0.00518758300132802 0.0207503320053121 0 0
"7" "Bacillus" 0.354730541678157 0.596446875522004 0.376322274965426 0.644671989815618
"8" "Bacteroides" 0.0215227753124437 0.0470536430363724 0 0
"9" "Bradyrhizobium" 0.00434499848625859 0.0173799939450344 0 0
"10" "Brevundimonas" 0 0 0.00935517122109016 0.031027592789887
"11" "Buttiauxella" 0.366608933324857 0.697363821626345 0.0811980074006687 0.118692580596561
"12" "Carnobacterium" 0.058933645379402 0.107007082404791 0.0525080245314326 0.174149415853539
"13" "Caryophanon" 0 0 0.156725807374687 0.376233142192872
"14" "Cedecea" 0.0123341892513147 0.0493367570052588 0 0
"15" "Cetobacterium" 1.61054809810332 4.42968815722585 0.0705769217969375 0.19148780277661
"16" "Chryseobacterium" 0.151823290562466 0.563726890083584 0.0781058808766986 0.236795893085983
"17" "Citrobacter" 6.30552620354888 9.32797968877749 12.3762581186498 14.0930532627647
"18" "Clostridium sensu stricto 1" 18.0120264447793 15.1793865421795 21.2604856040847 10.6695057776788
"19" "Clostridium sensu stricto 13" 0.897104107960753 2.05933399535336 1.93686284407358 0.911635826381098
"20" "Clostridium sensu stricto 5" 0.0281646347349047 0.0509906189646291 0.016021702912161 0.0531379770621825
"21" "Comamonas" 0.577056359707195 1.58553671639297 0.320838156727613 0.821158255839173
"22" "Cronobacter" 0.0864945946114121 0.301930804835377 0 0
"23" "Diaphorobacter" 0.00302981857188535 0.0121192742875414 0 0
"24" "Dysgonomonas" 0.0134479621288541 0.0376373370117178 0.00738114426618123 0.0244804860544063
"25" "Enterobacter" 6.5998624790432 11.230806111483 8.65239138829412 8.2034032352583
"26" "Enterococcus" 1.69153554641145 3.23791057851561 0.270403824018576 0.457877536454831
"27" "Epulopiscium" 1.20746356246809 1.00390150760464 5.45055365671996 2.38085907036172
"28" "Erwinia" 0.0352232325769199 0.096800253722324 0 0
"29" "Escherichia-Shigella" 0.00477035264509608 0.0190814105803843 0.0716302959431786 0.135628906129414
"30" "Exiguobacterium" 0.0236171691914378 0.0944686767657513 0.160111565251477 0.418470324894116
"31" "Glutamicibacter" 0.115963956008455 0.163300281893609 2.95107735426189 8.71925020806544
"32" "Hafnia-Obesumbacterium" 8.88741153928062 10.1982899337535 0.506181493660894 0.462458971331532
"33" "Helicobacter" 0.0379165822297988 0.0825224243284936 0.0094681997345245 0.0212288409866595
"34" "Herbinix" 0 0 0.00520843641697075 0.0172744293395151
"35" "Isoptericola" 0 0 0.0177560356932554 0.0588901081586863
"36" "Kaistia" 0 0 0.00779434195726752 0.0258509077599807
"37" "Klebsiella" 3.54203268865187 7.30124947543063 1.41969432879783 3.36965466048582
"38" "Kluyvera" 0.217075599927655 0.597490244539786 0.385651792600412 0.947016079764672
"39" "Kurthia" 0.909435521821085 2.58203047912434 0.103102449086111 0.276905418482147
"40" "Lachnospiraceae NK4A136 group" 0.334780428244635 0.760818069651449 0.068433987525897 0.164638423394536
"41" "Lactococcus" 3.76025370021949 4.94197649959254 0.728850582290643 0.882262054698805
"42" "Lelliottia" 0.321943826476826 0.365311434771004 0.268467578478611 0.517873000312099
"43" "Lysinibacillus" 2.65497688205303 6.85523130716856 0.606778914912348 0.779737729454275
"44" "Macellibacteroides" 0.00651088671830681 0.0260435468732272 0 0
"45" "Macrococcus" 0.0640428504890545 0.256171401956218 0.0209418511738165 0.0694562627590131
"46" "Mesorhizobium" 0 0 0.0100676916948039 0.0333907558566417
"47" "Morganella" 0.153455760094984 0.591075127216806 0 0
"48" "Mumia" 0 0 0.00942156995968655 0.0312478124923641
"49" "Mycobacterium" 0 0 0.00996512207274539 0.0330505709053852
"50" "Nocardiopsis" 0 0 0.0336698364466056 0.0752052786776719
"51" "Paenibacillus" 0.0307794702761741 0.123117881104697 0 0
"52" "Paeniclostridium" 0.0159137402744503 0.0354966210824592 0.195594626912825 0.302978716200647
"53" "Paeniglutamicibacter" 0 0 0.156355017975554 0.310739382016362
"54" "Pantoea" 0 0 0.0127882615774535 0.0424138653733318
"55" "Paraclostridium" 13.1202367755406 20.8677244734189 9.11792795652082 8.47365636226505
"56" "Pediococcus" 0.0231064021641118 0.0924256086564473 0.747753651016224 2.08585779222268
"57" "Plesiomonas" 0.148896307447982 0.338701672096166 0.0799568560228015 0.142586231724829
"58" "Pluralibacter" 0 0 0.0226869523143917 0.0752441084635223
"59" "Proteus" 0.0434536364346535 0.173814545738614 0 0
"60" "Pseudocitrobacter" 0.0149935637384927 0.059974254953971 0.0216514925035104 0.0718098767853368
"61" "Pseudogracilibacillus" 0 0 0.013010053222945 0.0431494650430626
"62" "Pseudomonas" 0.0664440833221172 0.229249994688065 0.0886995074519087 0.154736494297544
"63" "Psychrobacillus" 0.0457095056530032 0.0988136262079604 0.533683710482141 1.19216271443311
"64" "Raoultella" 0.0211165143348176 0.0844660573392704 0.0409223247396451 0.135723996710481
"65" "Rhodococcus" 0 0 0.104655609855307 0.273897137042721
"66" "Robinsoniella" 0.00448697095808047 0.0179478838323219 0 0
