"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "Aeromonas" 2.08721450722927 4.21961943815656 1.91208175866476 3.92313415283542
"2" "Bilateria" 0.0103350739773716 0.0413402959094865 0.242228502220428 0.873367285134596
"3" "Bradyrhizobium" 0 0 0.0527933915095804 0.190349280093438
"4" "Brevinema" 1.25659096723518 4.89940352066683 0 0
"5" "Cetobacterium" 7.59982166676332 17.8224258685219 4.59060191912284 16.5516506046408
"6" "Clostridium sensu stricto 1" 0.205630025620028 0.564787644153362 0.241923048682856 0.837728215942185
"7" "Cyanobium PCC-6307" 0 0 0.0441000441000441 0.159004970252932
"8" "Enterobacter" 0.0117205813408345 0.046882325363338 0 0
"9" "Epulopiscium" 0 0 0.110031530234776 0.39672432417925
"10" "Flavobacterium" 0.00439521800281294 0.0175808720112518 0.0414023585468875 0.116181626576727
"11" "Francisella" 0.0423692236217151 0.144634890102952 0 0
"12" "Modestobacter" 0 0 0.00810190394742765 0.0292118301113345
"13" "Mycoplasma" 83.9247493713176 30.7152047808352 81.8665221876901 33.417263544899
"14" "Neisseria" 0 0 0.0126000126000126 0.0454299915008378
"15" "Pantoea" 0 0 2.7027027027027 9.7447331769297
"16" "Paraclostridium" 1.82440058994323 5.76435996302351 0.311259861625301 0.626150247144809
"17" "Paracoccus" 0 0 0.0186329617092637 0.0671820988565074
"18" "Plesiomonas" 0.3121059987343 1.01834282202403 0.0671340256861609 0.24205517193977
"19" "Polynucleobacter" 0 0 0.0567000567000567 0.20443496175377
"20" "Pseudomonas" 0.0256319553784837 0.0822365468613303 0.080742834073476 0.291122428378199
"21" "Rheinheimera" 0 0 0.00630148084799928 0.0227203123088157
"22" "Romboutsia" 1.12277656762625 3.04852864006993 0.428364854487245 1.14954404879055
"23" "Sarcina" 0 0 0.029812058864024 0.107488906861389
"24" "Shewanella" 0.0364447345517842 0.145778938207137 0.00311127151444252 0.011217848977213
"25" "Sphingobium" 0 0 0.00630148084799928 0.0227203123088157
"26" "Streptococcus" 0 0 0.0126000126000126 0.0454299915008378
"27" "Terrisporobacter" 0.0377263581488934 0.150905432595573 0.0112005774519931 0.0403842563179668
"28" "Vibrio" 1.4980871605089 4.69623370117061 7.14274916356961 19.9569752638713
