"W" "Pvalue"
"Planomicrobium" 0.365720627414263 1.00369281388907e-07
"[Clostridium] innocuum group" 0.365720627414263 1.00369281388907e-07
"Butyricicoccus" 0.365720627414263 1.00369281388907e-07
"Erysipelatoclostridium" 0.365720627414263 1.00369281388907e-07
"Paenisporosarcina" 0.365720627414263 1.00369281388907e-07
"Parabacteroides" 0.365720627414263 1.00369281388907e-07
"Parasutterella" 0.365720627414263 1.00369281388907e-07
"Pseudochrobactrum" 0.365720627414263 1.00369281388907e-07
"Tyzzerella" 0.365720627414263 1.00369281388907e-07
"Vitreoscilla" 0.365720627414263 1.00369281388907e-07
"[Eubacterium] brachy group" 0.365720627414263 1.00369281388907e-07
"Gemella" 0.365720627414263 1.00369281388907e-07
